<DATE>,LKOH,IMOEX,SBER,SBERP,RTKM,SNGSP,SNGS,RTKMP,GMKN,MSNG,TRNFP,AFLT,SIBN,TATN,TATNP,MTSS,CHMF,GAZP,PLZL,MGNT,ROSN,NVTK,AKRN,NLMK,MAGN,ENRU,RASP,OGKB,PIKK,TRMK,VTBR,URKA,MVID,AFKS,LSRG,HYDR,FEES,IRAO
20080717,2.34080717488788,2.94960082881345,6.27919758175322,4.54652532391048,0.611194509972134,0.00953379731146387,3.03663171964413,1.75210902011681,3.74149659863946,-0.759124087591235,0.478821362799263,0.817438692098085,0.22343324250681,2.08798017348203,2.1270973708548,2.62867647058823,1.99600798403194,1.83974903601072,2.52873563218391,-0.0880518967097359,3.70028463727979,1.45049504950495,-0.840630472854641,2.08170699973978,1.55709342560555,-0.250268144440476,-0.191938579654513,-1.6036655211913,3.70555555555555,1.30246020260493,6.01226993865031,-1.23956723338485,0,3.24414715719064,8.10810810810811,-0.875420875420884,4.23728813559322,0
20080718,-4.91630882481815,-3.91937488900728,-2.58564964447317,-2.86164939161785,-1.23272585171766,-3.52716873212584,-5.83346846116426,-1.48809523809523,-4.37158469945355,-2.23595175051486,3.1891495601173,0.621621621621613,-2.10972758414442,-3.37440067973539,-1.68175937904269,-2.56492924950742,-5.9491193737769,-4.86122252526872,-3.28923766816143,-0.0899280575539568,-6.65430267062315,-3.3816425120773,-1.62486753797245,-5.08964228056759,-2.55536626916525,-0.824372759856635,-2.64903846153846,-3.37601862630967,2.67673791539437,-3.31632653061224,-0.810185185185192,-7.65595167297882,0.558659217877095,-3.46614836410755,-6.25,-0.883152173913037,-3.79403794037941,1.49999999999999
20080721,0.32258064516129,0.694354595247336,2.18978102189782,1.02064486198097,0.532335803179634,-0.0988142292490098,-0.469241034913247,-0.302114803625379,1.14285714285714,-2.22690340054167,9.73321492007105,-0.953532097770607,0.983169471754713,1.7775265372778,-0.986842105263158,0.492665171513649,-0.74906367041199,-0.337268128161889,0.46213649255404,1.26012601260126,-0.262258602876896,0.70707070707071,-1.65170556552962,2.05908683974933,1.95804195804195,1.04806649801228,-1.42723097436911,0,-0.869565217391304,1.42480211081794,1.51691948658109,-1.36596278344574,-1.66666666666667,-0.00335570469799068,-6.66666666666667,0.342700479780664,-1.97183098591549,2.46305418719212
20080722,-1.10013780431786,-1.72850534765902,-3.44155844155845,-1.99770378874856,-0.894454382826476,0.168150346191901,-1.77335640138408,-2.05627705627706,-4.21845574387947,-1.32348414896892,4.10198802844942,-2.10169491525423,-1.54015401540155,-2.30807208096765,-1.51495016611296,0.647568872791146,-1.67714884696017,-0.842639593908633,-4.80549551143488,-0.266666666666667,-0.159362549800799,-0.702106318956873,2.22709017889741,-2.7280701754386,-3.34705075445816,-3.07582260371959,-1.05711422845691,-0.180722891566259,-0.00175438596491069,-3.17898022892819,-1.37931034482758,2.40549828178694,-3.05084745762712,0.674519279170444,-2.38071428571428,-0.683060109289618,-4.88505747126436,-2.88461538461538
20080723,-0.373888205104395,-0.191145064783853,2.08473436449228,1.14807872539832,-0.458483754512629,0.533228004344806,-0.792602377807132,0.243093922651932,-0.0772709398348465,3.55583281347473,-2.66501850296981,1.78670360110802,-2.23463687150838,-1.32659507264689,0.661179328025901,-1.12686295892404,0.211087420042646,-1.36172826865978,-1.29292929292929,-0.622994652406418,-0.239425379090181,-1.66666666666667,-2.96571428571428,2.35368383082334,0.0567697984672092,0.369003690036909,0.612689250088602,2.11225105612552,-4.06673801294761,0.00537374388736144,0.699300699300703,-3.82885906040269,-0.00582750582750053,0.163333333333332,1.70706900714876,-2.54470426409903,-5.74018126888218,11.8811881188119
20080724,-3.12354312354312,-1.84087733306717,-0.250329380764179,0.185313875376415,2.51332825590252,-1.80728808564973,-1.54460719041279,-0.573192239858902,-0.877004842514954,-2.2289156626506,2.71552628896925,-0.571506327391484,-0.348571428571436,-4.73751600512162,-1.59517426273458,-1.83455882352942,-3.40220004680951,-3.11051138329528,0.442079410560793,-1.34617626747742,-4.12,-2.92758089368258,-6.14510335080384,-2.85462555066079,-0.358156028368791,-0.220588235294126,-4.37845998993457,-0.88652482269503,5.15535560798084,1.76786673831273,1.04166666666666,-4.06155134512718,0.349670726732324,-1.32117541349129,-1.43884892086331,-1.19971771347919,-3.84615384615385,25.6637168141593
20080725,-6.35226179018287,-5.49274561018856,-7.21172896579051,-6.47398843930635,-1.93164933135217,-5.55166549964989,-6.69912541700477,-7.53880266075388,-5.98511166253102,-1.72520024645718,-1.3995969514124,-2.08019707130149,-9.39847468318137,-3.21908602150539,-3.32379784770467,-1.87633421969214,-10.1343612334802,-3.82816126843551,-5.77227157877579,-3.81818181818182,-4.8811013767209,-5.06878306878308,-9.01843137254901,-9.76782151278796,-9.96120858393537,-0.147383935151069,-11.0473684210526,-4.23375074537865,-4.34782608695652,-3.90200116162416,-4.58190148911799,-10.2709583560647,-5.33712759161391,-5.91191150681236,0,2.07142857142858,-4,38.0281690140845
20080728,-3.54573484069887,-2.08055947817899,-0.868327402135231,-0.395550061804706,0.288600288600293,-3.62211395890702,-3.02473908001547,-2.97362110311751,-8.92673141891893,-1.53605015673981,-3.02839116719243,-4.82180293501049,-2.3860759493671,-4.70106242622039,-1.36677469353248,-0.839694656488545,-1.23532439520577,0.634955998663243,-9.34883399072728,-0.56710775047259,1.61842105263158,-0.144911381116927,-0.863781933854322,-1.39712533923007,-1.66007905138341,-1.29151291512916,-3.17140997574107,-2.73972602739726,2.90545454545455,-4.3956043956044,-1.56062424969987,-1.49973653277128,0,-2.50546614574,-0.802919708029197,-2.02939118264522,-2.43055555555554,40.0510204081633
20080729,-3.46297282898242,-1.17775519173718,-4.79609419873636,-4.21940928270041,0.352517985611517,-0.978021978021983,-0.737419033383157,-5.70934256055364,5.46597329611452,-5.44412607449856,-3.52957059206246,-0.146842878120403,-5.66037735849056,0.735937044593406,-2.14285714285714,-1.9899923017706,-1.47661000124085,0.730573389417762,-3.86450381679389,2.6615969581749,2.51629332297467,-2.04286671131949,-13.6957117204857,1.86544342507647,-3.53697749196141,-2.803738317757,-3.39138405132906,-0.128040973111396,-5.32350966465246,-1.14942528735632,-1.34146341463415,-2.06164355376322,-1.84049079754601,1.83823529411765,6.62178072111847,0,-0.355871886120997,40.0728597449909
20080730,5.62913907284768,4.32172118331353,5.80693815987935,7.5408136823011,1.43737902358592,4.08389745866164,5.15510490914567,2.12319790301442,8.0459618508724,4.68013468013467,0.0372618319805082,6.58823529411765,1.03092783505155,2.27848101265823,2.55474452554745,5.25075599890037,9.34760705289673,2.23443223443224,1.23870967741936,0,2.72819131020545,2.21652421652421,0.605040831439956,4.62323626538576,6.25,3.42307692307692,0.695762175838074,1.41025641025641,3.01390314453671,6.68023255813954,3.70828182941904,2.05882352941177,0,1.62454873646209,-0.20704076632689,6.14285714285715,4.64285714285713,-23.7971391417425
